topic,gene_symbol,expected_direction,rna_only_rank,mixed_rank,rank_delta,rna_only_top_percent,mixed_top_percent,top_percent_delta,rna_only_direction,mixed_direction,rna_only_source_units,mixed_source_units,rna_only_reliability,mixed_reliability
Hypoxia,SLC2A1,up,17.0,20.0,-3.0,0.052008,0.057496,-0.005488,up,up,15,17,96.074735,94.970634
Hypoxia,SLC2A3,up,23.0,19.0,4.0,0.070364,0.054621,0.015742999999999993,up,up,15,17,96.07547,96.513991
Hypoxia,HK2,up,8.0,8.0,0.0,0.024475,0.022998,0.0014769999999999991,up,up,15,17,96.91937,97.256265
Hypoxia,PGK1,up,27.0,23.0,4.0,0.082602,0.06612,0.016481999999999997,up,up,15,17,96.918629,97.256964
Hypoxia,LDHA,up,34.0,30.0,4.0,0.104017,0.086244,0.017772999999999997,up,up,15,17,98.495812,98.656705
Hypoxia,ALDOA,up,46.0,45.0,1.0,0.140729,0.129366,0.011362999999999984,up,up,15,17,98.495059,98.656705
Hypoxia,ALDOC,up,40.0,36.0,4.0,0.122373,0.103493,0.018879999999999994,up,up,14,16,95.281015,95.858305
Hypoxia,ENO1,up,67.0,64.0,3.0,0.204974,0.183987,0.020986999999999978,up,up,15,17,95.26129,95.794037
Hypoxia,PFKFB3,up,20.0,22.0,-2.0,0.061186,0.063246,-0.0020599999999999993,up,up,15,17,93.513348,94.26016
Hypoxia,PFKFB4,up,4.0,5.0,-1.0,0.012237,0.014374,-0.002137,up,up,15,17,97.746227,97.990026
Hypoxia,PDK1,up,28.0,21.0,7.0,0.085661,0.060371,0.02529,up,up,15,17,96.917888,97.256964
Hypoxia,CA9,up,55.0,52.0,3.0,0.168263,0.14949,0.018772999999999984,up,up,10,12,86.129143,88.108278
Hypoxia,ADM,up,9.0,7.0,2.0,0.027534,0.020124,0.00741,up,up,14,16,95.509965,96.034639
Hypoxia,EPO,up,25069.0,25860.0,-791.0,76.694099,74.342389,2.351709999999997,up,up,6,8,72.822091,74.447705
Hypoxia,ANGPTL4,up,3.0,2.0,1.0,0.009178,0.00575,0.0034280000000000005,up,up,13,15,95.739597,96.259702
Hypoxia,EGLN3,up,1.0,1.0,0.0,0.003059,0.002875,0.00018400000000000014,up,up,15,17,96.074735,96.516072
Hypoxia,EGLN1,up,35.0,38.0,-3.0,0.107076,0.109242,-0.0021660000000000013,up,up,15,17,98.495059,98.655996
Hypoxia,NDRG1,up,2.0,3.0,-1.0,0.006119,0.008624,-0.0025049999999999994,up,up,15,17,96.07547,96.516072
Hypoxia,BNIP3,up,32.0,25.0,7.0,0.097898,0.07187,0.026027999999999996,up,up,15,17,95.148349,95.709356
Hypoxia,BNIP3L,up,13.0,13.0,0.0,0.039771,0.037372,0.0023989999999999984,up,up,15,17,98.494305,98.656705
Hypoxia,DDIT4,up,39.0,43.0,-4.0,0.119313,0.123617,-0.004304000000000002,up,up,15,17,95.26129,94.26016
Hypoxia,P4HA1,up,14.0,14.0,0.0,0.04283,0.040247,0.002583000000000002,up,up,15,17,97.746227,97.989322
Hypoxia,P4HA2,up,45.0,47.0,-2.0,0.137669,0.135116,0.0025529999999999997,up,up,14,16,95.510696,96.033949
Hypoxia,PLOD2,up,36.0,32.0,4.0,0.110136,0.091994,0.01814199999999999,up,up,14,16,97.171631,97.501942
Hypoxia,KDM3A,up,31.0,29.0,2.0,0.094839,0.083369,0.011470000000000008,up,up,15,17,96.918629,97.256964
Hypoxia,KDM4B,up,62.0,58.0,4.0,0.189678,0.166739,0.022939000000000015,up,up,15,17,96.917888,97.256964
Hypoxia,MXI1,up,11.0,12.0,-1.0,0.033653,0.034498,-0.0008449999999999985,up,up,15,17,96.918629,97.256964
Hypoxia,BHLHE40,up,25.0,26.0,-1.0,0.076483,0.074745,0.0017379999999999896,up,up,15,17,96.917888,97.255566
Hypoxia,FLT1,up,2513.0,2052.0,461.0,7.688072,5.899094,1.7889780000000002,up,up,13,15,89.481045,88.979247
Hypoxia,HK1,up,376.0,377.0,-1.0,1.150304,1.0838,0.0665039999999999,up,up,15,17,96.911957,97.257663
Hypoxia,PFKL,up,162.0,161.0,1.0,0.49561,0.462843,0.03276699999999999,up,up,15,17,93.501187,94.24864
Hypoxia,ANGPT2,up,6737.0,7273.0,-536.0,20.61064,20.908438,-0.29779800000000023,up,up,13,15,83.222194,83.27192
