# DEGORA gene-symbol retirement table
# source	https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt
# snapshot_date	2026-09-02
# source_sha256	854162118530e929f06249f3349465dd5fe0515fcccf0347f463e833609c1270
# rule	unambiguous HGNC prev_symbol -> approved symbol; a previous symbol that is itself an approved symbol, names more than one approved symbol, is accession- or number-shaped, belongs to an Excel date-damage family, or is a token whose non-gene meaning dominates in a spreadsheet is not listed
# counts	approved_records=45045; previous_symbols_seen=15746; dropped_symbol_reused_as_current=230; dropped_ambiguous_target=84; dropped_not_a_symbol_token=2; dropped_excel_date_family=29; dropped_non_gene_token=3; kept=15398
previous_symbol	current_symbol
ARIX	PHOX2A
ARL10A	ARL10
ARL10B	ARL8A
ARL10C	ARL8B
ARL12	ARL5C
ARL13	ARL13A
ARL17	ARL17B
ARL17P1	ARL17A
ARL2BPL	ARL2BPP2
ARL2L1	ARL13B
ARL4	ARL4A
ARL4B	ARL4AP1
ARL4P	ARL4AP1
ARL4P2	ARL4AP2
ARL5	ARL5A
ARL5B-AS1	NSUN6
ARL6IP	ARL6IP1
ARL6IP2	ATL2
ARL6IPP1	ARL6IP1P1
ARL7	ARL4C
ARL8	ARL5B
ARMC4	ODAD2
ARMC4P1	ODAD2P1
ARMD1	HMCN1
ARMET	MANF
ARMETL1	CDNF
ARMT1	DCPH1
ARNTL	BMAL1
ARNTL2	BMAL2
ARNTL2-AS1	BMAL2-AS1
ARP1	NR2F2
ARPC3B	ARPC3P1
ARR1	ARRB1
ARR2	ARRB2
ARSC	ARSC2
ARSC1	STS
ARSDP	ARSDP1
ARSE	ARSL
ARSEP	ARSLP1
ARSEP1	ARSLP1
ARSFP	ARSFP1
ARVD	TGFB3
ARVD1	TGFB3
ARVD2	RYR2
ARVD5	TMEM43
ARVP	AVP
AS	HLA-B
ASAH	ASAH1
ASAH2C	ASAH2B
ASAH3	ACER1
ASAH3L	ACER2
ASAHL	NAAA
ASB	ALAS2
ASBT	SLC10A2
ASCC3L1	SNRNP200
ASH2L1	ASH2L
ASLL	ASLP1
ASLN	COL4A5
ASMD	PITX3
ASMTL-AS	ASMTL-AS1
ASMTLAS	ASMTL-AS1
ASNA1	GET3
ASNSL1	ASNSP1
ASNSL2	ASNSP2
ASS	ASS1
ASSP1	ASS1P1
ASSP10	ASS1P10
ASSP11	ASS1P11
ASSP12	ASS1P12
ASSP13	ASS1P13
ASSP14	ASS1P14
ASSP2	ASS1P2
ASSP3	ASS1P3
ASSP4	ASS1P4
ASSP5	ASS1P5
ASSP6	ASS1P6
ASSP7	ASS1P7
ASSP8	ASS1P8
ASSP9	ASS1P9
ASTN	ASTN1
ASUN	INTS13
AT3	SERPINC1
ATA	ATM
ATAD4	PRR15L
ATBF1	ZFHX3
ATC	ATM
ATCD1	ATP6V0CP1
ATD	ATM
ATDC	ATM
ATE1-AS1	ATE1OSP
ATF4B	ATF4P4
ATF4C	ATF4P3
ATF4P	ATF4P1
ATG12P	ATG12P1
ATG16L	ATG16L1
ATG3P	ATG3P1
ATHL1	PGGHG
ATN1L	RERE
ATP10C	ATP10A
ATP13A	ATP13A1
ATP1A1OS	ATP1A1-AS1
ATP1AL1	ATP12A
ATP1AL2	ATP1A4
ATP1B	ATP1B1
ATP1BL1	ATP1B1P1
ATP1G1	FXYD2
ATP2A	ATP2A1
ATP2B	ATP2A2
ATP5	ATP5PF
ATP5A	ATP5PF
ATP5A1	ATP5F1A
ATP5A1P1	ATP5F1AP1
ATP5A1P10	ATP5F1AP10
ATP5A1P2	ATP5F1AP2
ATP5A1P3	ATP5F1AP3
ATP5A1P4	ATP5F1AP4
ATP5A1P5	ATP5F1AP1
ATP5A1P6	ATP5F1AP1
ATP5A1P7	ATP5F1AP7
ATP5A1P8	ATP5F1AP8
ATP5A1P9	ATP5F1AP7
ATP5AL1	ATP5F1AP1
ATP5AL2	ATP5F1A
ATP5AP1	ATP5F1AP1
ATP5AP2	ATP5F1AP2
ATP5AP3	ATP5F1AP3
ATP5AP4	ATP5F1AP4
ATP5B	ATP5F1B
ATP5BL1	ATP5F1BP1
ATP5BP1	ATP5F1BP1
ATP5C	ATP5F1C
ATP5C1	ATP5F1C
ATP5C1P1	ATP5F1CP1
ATP5C2	ATP5F1CP1
ATP5CL1	ATP5F1C
ATP5CL2	ATP5F1CP1
ATP5D	ATP5F1D
ATP5E	ATP5F1E
ATP5EP1	ATP5F1EP1
ATP5EP2	ATP5F1EP2
ATP5F1	ATP5PB
ATP5F1P1	ATP5PBP1
ATP5F1P2	ATP5PBP2
ATP5F1P3	ATP5PBP3
ATP5F1P4	ATP5PBP4
ATP5F1P5	ATP5PBP5
ATP5F1P6	ATP5PBP6
ATP5F1P7	ATP5PBP7
ATP5G	ATP5MC1
ATP5G1	ATP5MC1
ATP5G1P1	ATP5MC1P1
ATP5G1P2	ATP5MC1P2
ATP5G1P3	ATP5MC1P3
ATP5G1P4	ATP5MC1P4
ATP5G1P5	ATP5MC1P5
ATP5G1P6	ATP5MC1P6
ATP5G1P7	ATP5MC1P7
ATP5G1P8	ATP5MC1P8
ATP5G2	ATP5MC2
ATP5G2P1	ATP5MC2P1
ATP5G2P2	ATP5MC2P2
ATP5G2P3	ATP5MC2P3
ATP5G2P4	ATP5MC2P4
ATP5G3	ATP5MC3
ATP5GP1	ATP5MC2P1
ATP5GP2	ATP5MC2P2
ATP5GP3	ATP5MC1P1
ATP5GP4	ATP5MC1P2
ATP5H	ATP5PD
ATP5HP1	ATP5PDP1
ATP5HP2	ATP5PDP2
ATP5HP3	ATP5PDP3
ATP5HP4	ATP5PDP4
ATP5I	ATP5ME
ATP5J	ATP5PF
ATP5J2	ATP5MF
ATP5J2-PTCD1	ATP5MF-PTCD1
ATP5J2LP	ATP5MFP1
ATP5J2P2	ATP5MFP2
ATP5J2P3	ATP5MFP3
ATP5J2P4	ATP5MFP4
ATP5J2P5	ATP5MFP5
ATP5J2P6	ATP5MFP6
ATP5JP1	ATP5PFP1
ATP5K2	ATP5MGL
ATP5KP1	ATP5MGP1
ATP5KP2	ATP5MGP2
ATP5KP3	ATP5MGP3
ATP5L	ATP5MG
ATP5L2	ATP5MGL
ATP5LP1	ATP5MGP1
ATP5LP2	ATP5MGP2
ATP5LP3	ATP5MGP3
ATP5LP4	ATP5MGP4
ATP5LP5	ATP5MGP5
ATP5LP6	ATP5MGP6
ATP5LP7	ATP5MGP7
ATP5LP8	ATP5MGP8
ATP5MD	ATP5MK
ATP5MDP1	ATP5MKP1
ATP5MPL	ATP5MJ
ATP5O	ATP5PO
ATP5S	DMAC2L
ATP5SL	DMAC2
ATP6A1	ATP6V1A
ATP6B1	ATP6V1B1
ATP6B2	ATP6V1B2
ATP6D2	ATP6V0D2
ATP6E	ATP6V1E1
ATP6EL1	ATP6V1E1P3
ATP6EL2	ATP6V1E2
ATP6EP1	ATP6V1E1P1
ATP6EP2	ATP6V1E1P2
ATP6F	ATP6V0B
ATP6G	ATP6V1G2
ATP6G1	ATP6V1G1
ATP6G2	ATP6V1G2
ATP6H	ATP6V0E1
ATP6IP1	ATP6AP1
ATP6IP2	ATP6AP2
ATP6J	ATP6V1G1
ATP6L	ATP6V0C
ATP6M	ATP6V1D
ATP6N1	ATP6V0A1
ATP6N1A	ATP6V0A1
ATP6N1B	ATP6V0A4
ATP6N2	ATP6V0A4
ATP6S1	ATP6AP1
ATP6V0E	ATP6V0E1
ATP6V0E2L	ATP6V0E2
ATP6V1A1	ATP6V1A
ATP6V1E	ATP6V1E1
ATP6V1EL1	ATP6V1E1P3
ATP6V1EL2	ATP6V1E2
ATP6V1EP1	ATP6V1E1P1
ATP6V1EP2	ATP6V1E1P2
ATP6V1FNB	SPMIP1
ATP6V1GP1	ATP6V1G1P1
ATP6V1GP2	ATP6V1G1P2
ATPAF1-AS1	TEX38
ATPBD1B	GPN2
ATPBD1C	GPN3
ATPBD3	CTU1
ATPBD4	DPH6
ATPBD4-AS1	DPH6-DT
ATPGD1	CARNS1
ATPIF1	ATP5IF1
ATPL	ATP6V0C
ATPSB	ATP5F1B
ATPSBL1	ATP5F1BP1
ATQ1	ALDH7A1
ATQL1	ALDH7A1P1
ATQL2	ALDH7A1P2
ATQL3	ALDH7A1P3
ATQL4	ALDH7A1P4
ATRC1	SLC7A1
ATRC2	SLC7A2
ATS	COL4A5
ATSV	KIF1A
ATXN7L4	ATXN7L1
AUF1	HNRNPD
AUNA1	DIAPH3
AUNX1	AIFM1
AURKAPS1	AURKAP1
AURKAPS2	AURKAP2
AURKBPS1	AURKBP1
AUTL1	ATG4C
AUTL2	ATG4A
AUTL4	ATG4D
AVED	TTPA
AVPR1	AVPR1A
AVPR3	AVPR1B
AVSD2	CRELD1
AWAL	CLDN5
AXA1	APTX
AXLLG	GAS6
AXOT	MARCHF7
AXPC1	FLVCR1
AXT	CNTN2
AXUD1	CSRNP1
AYTL1	LPCAT2
AYTL2	LPCAT1
AYTL3	LPCAT4
AZI1	CEP131
AZIN1-AS1	MAILR
B2G1	APOH
B3GALT3	B3GALNT1
B3GALT7	B3GNT8
B3GALTL	B3GLCT
B3GAT3P	B3GAT3P1
B3GNT10	B3GALT9
B3GNTL1	QTGAL
BA2R	TAF1
BAALCOS	BAALC-AS2
BAAT1	BRAT1
BAATP1	ACNATP
BACE	BACE1
BACE1AS	BACE1-AS
BAI1	ADGRB1
BAI2	ADGRB2
BAI3	ADGRB3
BAIAP1	MAGI1
BAIAP2-AS1	BAIAP2-DT
BANF1L1	BANF1P2
BAPX1	NKX3-2
BARX1-AS1	BARX1-DT
BAT1	DDX39B
BAT1P1	DDX39BP1
BAT1P2	DDX39BP2
BAT2	PRRC2A
BAT2D1	PRRC2C
BAT2L	PRRC2B
BAT2L1	PRRC2B
BAT2L2	PRRC2C
BAT2L2P1	PRRC2CP1
BAT3	BAG6
BAT4	GPANK1
BAT5	ABHD16A
BAT8	EHMT2
BBMI	MYO1A
BBOX	BBOX1
BBS	BBS2
BBS3	ARL6
BBS6	MKKS
BCAR2	TRERF1
BCD1	KLF6
BCDIN3	MEPCE
BCDO	BCO1
BCDO1	BCO1
BCDO2	BCO2
BCEI	TFF1
BCH	NKX2-1
BCL1	CCND1
BCL2L7P1	BAK1P1
BCL2L7P2	BAK1P2
BCL4	BCL3
BCL7	BCL7A
BCL8	NBEAP1
BCM1	CD48
BCMA	TNFRSF17
BCMO1	BCO1
BCMS	DLEU1
BCMSUN	DLEU2
BCMSUNL	DLEU2L
BCNG1	HCN1
BCNG2	HCN2
BCORL2	BCORP1
BCP	OPN1SW
BCPM	ATP2C1
BCR1	BCR
BCR2	BCRP2
BCR3	BCRP3
BCR4	BCRP4
BCRL2	BCRP2
BCRL3	BCRP3
BCRL4	BCRP4
BCRL5	BCRP5
BCRL6	BCRP3
BCT1	BCAT1
BCT2	BCAT2
BCUR1	LDOC1
BDB	ROR2
BDB1	ROR2
BDH	BDH1
BDK	KNG1
BDMR	HDAC4
BDNFOS	BDNF-AS
BECN1P1	BECN2
BEK	FGFR2
BET3L	TRAPPC3L
BEXL1	BEX4
BF	CFB
BFD	CFB
BFLS	PHF6
BFT	PITX1
BGP	CEACAM1
BHLHB1	OLIG2
BHLHB2	BHLHE40
BHLHB3	BHLHE41
BHLHB4	BHLHE23
BHLHB5	BHLHE22
BHLHB8	BHLHA15
BHLHB9	GPRASP3
BHLHB9P1	GPRASP3P1
BHMG1	MEIOSIN
BIRC1	NAIP
BIRC4	XIAP
BKLHD1	KBTBD2
BKLHD2	KLHL13
BKLHD3	KBTBD3
BKLHD4	KBTBD4
BKLHD5	KLHL32
BLIMP1	PRDM1
BLR1	CXCR5
BLVR	BLVRA
BMIQ4	UCP2
BMP2A	BMP2
BMP2B	BMP4
BMP8	BMP8B
BMPR1APS1	BMPR1AP1
BMPR1APS2	BMPR1AP2
BMPR1B-AS1	BMPR1B-DT
BMS1L	BMS1
BMS1LP1	BMS1P1
BMS1LP2	BMS1P2
BMS1LP3	BMS1P3
BMS1LP4	BMS1P4
BMS1LP5	BMS1P1
BMS1LP6	BMS1P2
BMS1LP7	BMS1P7
BMS1P5	BMS1P1
BMS1P6	BMS1P2
BMT2	SAMTOR
BN51T	POLR3D
BNC	BNC1
BNIP3P	BNIP3P1
BNSP	SPP1
BOD1L	BOD1L1
BOD1P	BOD1L2
BOKAS	BOK-AS1
BOLA3-AS1	BOLA3-DT
BOR	EYA1
BORJ	PHF6
BPAG1	DST
BPAG2	COL17A1
BPES	FOXL2
BPES3	TWIST1
BPIL1	BPIFB2
BPIL2	BPIFC
BPIL3	BPIFB6
BPNT2P	BPNT2P1
BPY2IP1	MAP1S
BRAFPS2	BRAFP1
BRCTD1	SLF1
BRD2-IT1	BRD2
BRD7P	BRD7P1
BRE	BABAM2
BRE-AS1	BABAM2-AS1
BRIC	ATP8B1
BRN3A	POU4F1
BRN3B	POU4F2
BRP44	MPC2
BRP44L	MPC1
BRRN1	NCAPH
BRUNOL4	CELF4
BRUNOL5	CELF5
BRUNOL6	CELF6
BRWD1-AS2	BRWD1-AS1
BRWD1-IT2	BRWD1-AS1
BRWD2	WDR11
BSCL	AGPAT2
BSEP	ABCB11
BSN-AS2	BSN-DT
BTBD11	ABTB3
BTBD12	SLX4
BTBD14A	NACC2
BTBD14B	NACC1
BTBD15	ZBTB44
BTBD4	ZBTB46
BTBD5	KLHL28
BTEB1	KLF9
BTEB2	KLF5
BTF3L1	BTF3P11
BTF3L2	BTF3P12
BTF3L3	BTF3P13
BTKI	IBTK
BTN	BTN1A1
BTN2A3	BTN2A3P
BTNL10	BTNL10P
BTRC2P	FBXW11P1
BTS	CLN3
BUB1L	BUB1
BUCS1	ACSM1
BVES	POPDC1
BVES-AS1	POPDC1-AS1
BWCR	CDKN1C
BWS	CDKN1C
BWSCR1A	SLC67A1
BWSCR1B	SLC67A1-AS
BXDC1	RPF2
BXDC1P	RPF2P1
BXDC2	BRIX1
BXDC5	RPF1
BZRAP1	TSPOAP1
BZRAP1-AS1	TSPOAP1-AS1
BZRP	TSPO
BZRPL1	TSPO2
BZS	PTEN
BZW1L1	BZW1P2
C10ORF10	DEPP1
C10ORF100	NRG3-AS1
C10ORF101	LINC00595
C10ORF102	GLUD1P3
C10ORF103	DNAJC9-AS1
C10ORF104	ANAPC16
C10ORF106	CDH23-AS1
C10ORF107	CABCOCO1
C10ORF108	DIP2C-AS1
C10ORF109	ADARB2-AS1
C10ORF11	LRMDA
C10ORF110	IDI2-AS1
C10ORF111	RPP38-DT
C10ORF112	MALRD1
C10ORF113	NEBL
